,review_rating,review_title,review_body
https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Processor-Graphite/product-reviews/B0CD9645MM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5,"Right price, good phone",I like the fast processor and ample room in memory to save pictures and apps. It is a bit heavy and it took a bit to get used to.
https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Processor-Graphite/product-reviews/B0CD9645MM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5,Very nice phone.,"This S23FE was a great upgrade from my S9. Easy to import all of my contacts, apps, photo's & files. It took some time using the smart swith app for Android as I had thousands of photos but was all done in the app. It's much faster than the S9 but the easy to use of the android system. It is totally unlocked as advertised and connected to the Verizon network right away. FYI: get a new sim card rather than using your old phones existing sim card. The only issue I ran into was by using my S9 sim card it was registered to the old phone and discovered it was in the new S23fe which it didn't like. It stopped communicating with verizon. The techs at verizon fixed everything quickly and it now works perfectly all at no charge! The camera portion of the phone takes ok selfies and basic photographs. The zoom feature came out a little blurry. Not the best camera setup but the phone/texting and all apps function as desired. All in all I'm totally satisfied with the newest Galaxy model plus saved over $100 by purchasing online. Samsung quality."
https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Processor-Graphite/product-reviews/B0CD9645MM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,5,Phone is Fantastic; Exchange and Refund Process is Stinky,"Update; Received refund the day after I posted my review.Changed from 3 stars to an 5 star.Ordered this new phone as hubster's replacement phone.We had been searching for a while for just the right one, has great reviews and a fantastic price. We received the original order quickly, charged it and started the set up. The phone needed a PIN to log in and set up. We thought this was unusual for a new phone. Started a chat session w/Amazon Help Desk and w/in 5 minutes was told that it appeared to have been used by a customer, returned the item and we ended up receiving it in error.We were offered the return option so that we could purchase another one. We initiated the return process and mailed it out the next day.The return message on my Amazon account stated that we would be refunded when they received the device. I have been monitoring my emails and still have not received any notice or tracking info.I checked the tracking number thru UPS and it shows that the device was received 2 days ago.I logged into my Amazon account and the Refund Status shows the same info but I am not scheduled for my $500+ refund until more than 2 weeks away. Why would it take that long and why would they indicate that my refund would be issued upon their receipt? Very frustrating!The new device was easy to set up, long lasting battery, superb camera."
https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Processor-Graphite/product-reviews/B0CD9645MM/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,4,"Great , with some cons","ProsBeautiful classic design, dual-glass, IP68-rated.Fast OLED screen, decent brightness, great color accuracy, HDR10+.Very good stereo speakers.Flagship-grade performance.Reliable camera quality across the board.ConsIt's closer related to S22 than S23Heavy weight, thick screens bezels -_-Battery life could be better"
https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Processor-Graphite/product-reviews/B0CD9645MM/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=5,5,Magical,"I'm pleased to report that the phone I received is exactly what I ordered - a brand new s23 fan edition device that arrived overnight and on time. The phone was unopened and in its original package, cellophane wrapped and factory fresh. It's in tip-top shape, clean, sharp, and practically perfect with a pretty purple shine. I'm impressed with how well-made it is, and it's fairly priced too - way less expensive than the flagship.The phone comes with a SIM slot key and a C-to-C cable. However, I'm not sure if it has an expandable memory slot. At the moment, it doesn't seem to have a keyhole for the memory slot, but it does have one for the SIM slot. I also purchased a protective case separately, which is clear, decent, and fits well in my hand and pocket. Overall, I'm satisfied with my purchase and would recommend this phone to anyone looking for a high-quality device at a reasonable price."
https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Processor-Graphite/product-reviews/B0CD9645MM/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=6,5,Amazing Value for Midrange Phone,"I got this phone on sale for $400 (Black Friday 2023). So far, it's been very good for the price. The chipset is simply blazing fast. Everything feels snappy on this phone. Opening and closing apps are quick. Animation is smooth and does not stutter. The build quality is amazing and feels good to touch. So good that I did not use case until I first dropped it (more on this later).One drawback this phone has is battery life. The Snapdragon 8 Gen 1 processor is power hungry. The battery, while theoretically big, is quickly depleted. I mostly use my phone for navigation (Android Auto wireless), YouTube video playback, browsing on Edge, or social media chatting. My Screen on Time (SoT) life is expected to be 7 hours when fully charged according to AccuBattery Pro app I installed since day one of owning this phone. That is my usage without gaming ever. Expect the battery life to go down to around 4 hours or even less if you game because gaming is extremely taxing on your phone. It also heats up quite quickly, probably because it's drawing a bit too much power than it should have (inefficient CPU / GPU). One solution I have working for me is by activating Light performance profile under Device Care settings. This decrease the performance unless you're gaming. For my use case, it's perfect because it doesn't overheat anymore. That 7 hours SoT figure is with this profile turned on. Expect it to be around 5.5 to 6 hours SoT without this on.So about me dropping the phone, it was when I was changing my car's tires. I was crouching, so when it fell, it was about 12 inches high. The floor was concrete, and it was not clean. This is the worst combination because dust and debris are really abrasive and can easily put lots of dents and scratches on phone. Surprisingly, other than two scratches (one big, and one small), there's really no other damage. I was using matte screen protector at that time, so when it ended up falling screen down, it did crack the screen protector, but the screen remains flawless to this day. I assumed it fell by its side frame (charging port side), then it fell face down. I did attach the photo so you can judge the amount of damage done by this accident."
,5,Excellent phone,Fantastic camera and screen quality. Really liked the zoom
,5,Spectrum phone Service Provider,"Just to begin, the phone is awesome. Be carefully with what phone service provider you want to use the phone with. SPECTRUM is a pain in the a$$. I went to the store with this ""3rd party phone"". They said that the phone is NOT compatible with Spectrum's system. I know... it is unlocked and should work on any provider. In essence, if you didn't buy it here, we won't put it on our system. Don't give up. Leave the store and call ""611"". For some ungodly reason, the managent won't let the stores put phones not purchased with Spectrum on their system. Call 611."
,5,Yes!,"We got this for my son, and so far it has worked out amazing. This one doesn't break as easily as all of the others he has had. If you add a case your really covered good! This phone is very user friendly, inexpensive, and the battery lasts a long time. The fingerprint sensor works perfect."
,4,"IT'S WAS OK,GRACIAS.",ME GUSTÓ. ME GUSTARIA COMPRARLE UNA GARANTIA.
,4,Great so far!,"Only reason I'm not giving 5 stars is because it doesn't come with a block, and the charger it comes with could be significantly better otherwise; it seems to be an amazing phone off the rip. I just switched back to android after years of being with Apple I got tired of my phone being outdated so quickly and the lack of user customization. I was looking at this phone for a bit because I wanted a galaxy and in the past my old androids when I was young would slow down and lag after a week of use. I haven't had this one for even a week yet but it's clearing all my worries thus far. My first worry was will it really be ""unlocked"" or will I have to go through a series of emails and returns to get one that accepts my Sim. Nope, popped my Sim in from my iPhone xr (I use cricket) it prompted me to restart the device so it could configure to it and boom. It even auto went to 5g shortly after (xr doesn't support 5g). There's that, I was also worried it would lag or skip like the cheaper androids I assume I had when I was younger but, man, this thing is smooth! I did a bit of extensive research and I was debating between this and a used s23 at the same price but after much debate and the risks of buying a used phone no matter who the seller is I landed back here and I don't regret it. All the good features as the flagships and none of the useless ones at half the price. Battery seems great thus far, just know that with every phone if you treat the battery with no care it will degrade so do a little research. Condition was amazing. Came packed in a loose box kind of but the phones packaging itself that was inside the box won't let anything happen to it. My only tip is buy a case when you buy the phone, it's very smooth and nice but also slippery and will fall out your pocket very easily between motions so keep that in mind. Hope I helped! (Make sure to select the version that comes with the free $100 Amazon gift card while it lasts)💪🏽"
,5,Quiero uno para mi,Se lo regale a mi parejaY yo ahora tengo envidiaPero no me puedo gastar todos los días ese dineroMe gusta mucho es bueno
